品目	紙名	発行日	年	見出し	備考
コメ	朝日	2019-02-05	2019	コメ全量全袋検査、消費者４６％「必要」　消費者団体「抽出への懸念も」　／福島県	福島中会・１地方
コメ	朝日	2018-10-16	2018	丹精コメた厳選米、５キロ３５００円で販売　会津農書を継承、２６日から　／福島県	福島中会・１地方／写真図表有／ノイズ（込めた）
コメ	朝日	2018-06-27	2018	商業施設開業、楢葉に活気再び　「ここなら笑店街」コメリなど１０店舗　／福島県	福島中会・１地方／写真図表有／ノイズ（コメリ）
コメ	朝日	2018-05-10	2018	福島、広田組が移籍にコメント　バドミントン	スポーツ１／ノイズ（コメント・バドミントン）
コメ	朝日	2018-03-29	2018	福島産コメ・牛肉、価格戻らず　２０品目、震災前と比較　農水省	５総合（全国面）
コメ	朝日	2018-03-03	2018	コメ抽出検査化、福島県正式発表　早ければ２０２０年産から	５総合（全国面）
コメ	朝日	2018-02-14	2018	特産食材で焼酎造り　福島はコメ、青森では長芋…　地元農家の振興も期待／東北・共通	宮城全県・２地方／写真図表有
コメ	朝日	2018-01-27	2018	ＪＡ「検査法決定が先」　コメ全袋検査、県素案に異論　／福島県	福島中会・１地方
コメ	朝日	2018-01-19	2018	コメの検査「抽出」に　全量全袋から移行　県素案　／福島県	福島中会・１地方
コメ	朝日	2017-12-02	2017	ＥＵ、輸入規制緩和　福島産コメ・周辺の水産物　９カ国・地域は停止継続	５総合（全国面）
コメ	朝日	2017-10-06	2017	福島と沖縄のリアル、コメディーで　右京で１４日、ミュージカル公演　／京都府	京都市内・１地方／写真図表有／ノイズ（コメディー）
コメ	朝日	2017-09-27	2017	ＥＵ、年内にも解除　福島産コメの輸入規制	５総合（全国面）
コメ	朝日	2017-07-28	2017	全量全袋検査、見直し議論　コメ、１８年産以降について　県検討会　／福島県	福島中会・１地方
コメ	朝日	2017-02-07	2017	コメの全量全袋検査、「今後も必要」７割超　県内消費者への調査結果　／福島県	福島中会・１地方
コメ	朝日	2017-01-31	2017	食品の放射性物質検査、コメなどで新指針案　国、取りやめに向け基準　／福島県	福島中会・１地方
コメ	朝日	2016-10-06	2016	楢葉町産のコメ出荷へ　放射性物質、すべて基準下回る　／福島県	福島中会・１地方／写真図表有
コメ	朝日	2016-05-16	2016	コメ実証栽培へ、手作業で田植え 浪江の住民と学生ら ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2015-10-22	2015	コメ全量検査、継続に「意味」 森山農水相が視察 ／福島県	福島中会・１地方
コメ	朝日	2015-10-16	2015	ふるさと納税、うれしい悲鳴 湯川村、特典のコメ評判 ３億７０００万円に ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2015-10-14	2015	福大生、復興へ現場主義 コメ出品へ稲刈り・仮設で聞き取り ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2015-10-07	2015	「農業復興、足かせ必至」 意欲低下、コメ農家ら危機感 ＴＰＰ合意 ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2015-09-19	2015	規制委「無関係」、東大教授が批判 がれき処理とコメ汚染 ／福島県	福島全県・２地方
コメ	朝日	2015-09-09	2015	コメ検査経費、町職員が着服か 古殿、計１７５万円 ／福島県	福島中会・１地方
コメ	朝日	2015-06-28	2015	コメ全量全袋検査に話題集中 有機農業学会、福島でフォーラム ／福島県	福島中会・１地方
コメ	朝日	2015-03-28	2015	コメ検査８６６袋分、４ＪＡ不正認証 農政局が改善命令 ／福島県	福島中会・１地方
コメ	朝日	2015-03-27	2015	栃木・福島の入札価格、全農県本部が漏らす コメ施設談合	３社会（全国面）
コメ	朝日	2015-02-28	2015	コメ出荷、今秋可能に 葛尾村 ／福島県	福島全県・２地方
コメ	朝日	2014-12-26	2014	来年度以降のコメ作り説明 食用米以外も生産拡大 ／福島県	福島中会・１地方
コメ	朝日	2014-12-03	2014	「復興に追い風」知事らコメント 常磐道開通の首相発言 ／福島県	福島中会・１地方／ノイズ（コメント）
コメ	朝日	2014-12-02	2014	コメの放射性物質汚染 土壌や用水由来、農水省は否定的 ／福島県	福島中会・１地方
コメ	朝日	2014-11-27	2014	コメ汚染「がれき撤去原因」、規制委が否定的な見解 福島第一	５総合（全国面）
コメ	朝日	2014-11-23	2014	がれき処理影響、市長が再度見解 南相馬のコメ汚染 ／福島県	福島中会・１地方
コメ	朝日	2014-10-10	2014	いわき産のコメ、給食使用に反対 母親ら市教委に署名 ／福島県	福島中会・１地方
コメ	朝日	2014-09-29	2014	４年ぶり、コメ収穫の喜び 川内村 ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2014-09-27	2014	いわきのコメ、給食に 市教委、「安全確保」１２月から ／福島県	福島中会・１地方
コメ	朝日	2014-08-19	2014	福島産のコメ、輸出を再開へ 震災後初、シンガポールで販売	３社会（全国面）
コメ	朝日	2014-07-14	2014	福島第一がれき撤去、２０キロ先汚染 昨夏、コメにセシウム	１総合（全国面・１面）／写真図表有
コメ	朝日	2014-05-16	2014	集団的自衛権「十分議論を」 知事がコメント ／福島県	福島中会・１地方／ノイズ（コメント）
コメ	朝日	2014-03-08	2014	（東日本大震災３年 ふくしま）コメ作り、制限緩和 帰還困難区域以外可能に／福島県	福島中会・１地方／写真図表有／連載
コメ	朝日	2013-12-11	2013	川内村のコメ、全て基準値以下 全袋検査終了 ／福島県	福島中会・１地方
コメ	朝日	2013-11-12	2013	旧福島市のコメ、基準超のセシウム ／福島県	福島中会・１地方
コメ	朝日	2013-10-09	2013	コメ２袋で基準超えセシウム 南相馬・旧太田村 ／福島県	福島中会・１地方
コメ	朝日	2013-10-03	2013	３年ぶり出荷待つ 川内でコメ全袋検査始まる ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2013-10-02	2013	吉野家、県内で野菜とコメ 白河に農業生産法人設立 ／福島県	福島全県・２地方
コメ	朝日	2013-09-27	2013	コメ全袋検査に卸業者招く 郡山、ＪＡが安全安心ＰＲ ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2013-09-18	2013	前向きに生きる姿「福島引き戻す力に」 放射能と闘うコメ農家の記録映画 ／福島県	福島全県・２地方／写真図表有
コメ	朝日	2013-06-21	2013	ＴＰＰ農林水産業打撃、県試算年１０４１億円 コメ半減、牛肉４８％減… ／福島県	福島中会・１地方
コメ	朝日	2013-06-11	2013	困難区域でコメ試験栽培 飯舘・長泥の除染農地 ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2013-05-31	2013	コメ試験田拡充、実証栽培は１２０ヘクタール 南相馬 ／福島県	福島中会・１地方
コメ	朝日	2013-05-15	2013	放射能不検出９８％ 昨年度出荷、福島市産のコメ以外の農産物 ／福島県	福島中会・１地方
コメ	朝日	2013-03-20	2013	居住制限区域でもコメ作付け再開へ 飯舘村や川内村 ／福島県	福島中会・１地方
コメ	朝日	2013-02-09	2013	原発２０キロ圏外を実証栽培区域に 南相馬市、コメ作付け ／福島県	福島中会・１地方
コメ	朝日	2013-01-30	2013	福島のコメ作付け、新たに２０００ヘクタール可能に 避難区域の再編受け	２社会（全国面）／写真図表有
コメ	朝日	2013-01-10	2013	コメ全袋検査ほぼ終了 ９９．９９％、基準下回る 県、「検査体制整う」 ／福島県	福島中会・１地方
コメ	朝日	2013-01-08	2013	福島市産コメ、再び給食に 市内小中学校、「５段階検査で安全性を確認」 ／福島県	福島中会・１地方
コメ	朝日	2012-12-22	2012	コメ作付け、来年も中止 福島・南相馬	３社会（全国面）
